"context","target"
"YES","Так"
"NO","Ні"
"EXIT_GAME","Вийти з гри?"
"RESTORE_DEFAULTS","Відновити типові налаштування?"
"RESTORE_DEFAULTS_TEXT","Усі змінені налаштування будуть втрачені і відновлені до типових значень."
"SAVE_TEXT","Зберегти гру перед виходом у меню?"
"PLAYER_SETTINGS","Налаштування гравців"
"CHOOSE_TEAM","Оберіть свою команду"
"SAVE_STATES","Зберегти країни"
"FINANCES","Фінанси"
"WATCHLIST","Список спостережень"
"SCOUTS","Розвідники"
"SCOUT","Розвідник"
"JOBS","Вакансії"
"HALL_OF_FAME","Зал слави"
"HOME","Дім"
"AWAY","Не у домі"
"GAME_SETTINGS","Налаштування гри"
"WORST","Найгірші"
"BAD ","Погані"
"NEUTRAL","Нейтральні"
"GOOD","Хороші"
"BEST","Найкращі"
"INJURED","Поранено"
"RECOVER","Одужує"
"MAKE_OFFER","Зробити пропозицію"
"TRANSFERLIST","Список трансферів"
"SCREEN_FADE_ANIMATION","Анімація згасання екрана"
"MORALITY","Мораль"
"NATION","Нація"
"GENERAL","Загальні"
"PHYSICAL","Фізичний"
"PACE","Швидкість"
"ACCELERATION","Прискорення"
"STAMINA","Витривалість"
"STRENGTH","Сила"
"AGILITY","Спритність"
"JUMP","Стрибок"
"TECHNICAL","Технічні"
"CROSSING","Подача"
"PASSING","Пас"
"LONG_PASSING","Довгий пас"
"TACKLING","Підкат"
"HEADING","Удар головою"
"INTERCEPTION","Перехоплення"
"SHOOTING","Удар"
"LONG_SHOOTING","Довгий удар"
"PENALTY","Пенальті"
"FINISHING","Закінчення"
"DRIBBLING","Ведення м'яча"
"BLOCKING","Блокування"
"MENTAL","Психічний"
"AGGRESSION","Агресія"
"ANTICIPATION","Очікування"
"DECISIONS","Рішення"
"CONCENTRATION","Концентрація"
"TEAMWORK","Командна робота"
"VISION","Бачення"
"WORK_RATE","Темп роботи"
"OFFENSIVE_MOVEMENT","Наступальні дії"
"GOALKEEPER","Воротар"
"ACTION","Дія"
"AGE","Вік"
"AGENT","Агент"
"AMOUNT","Кількість"
"ATTACK","Напад"
"ATTRIBUTES","Атрибути"
"AUDIO","Звук"
"BACKUP","Резервне копіювання"
"BITCOIN","Bitcoin"
"BLOCK","Блокувати"
"BUY","Придбати"
"CENTER","Центр"
"CITY","Місто"
"COMPETITION","Конкуренція"
"CONFIRM","Підтвердити"
"CONTRACT","Контракт"
"CONTINENT","Континент"
